L1,L2,L3,switch
0.32,-0.2,-1.48,switch
4.49,4.42,4.59,not_switch
1.21,5.04,2.08,switch
1.06,1.1,0.94,not_switch
-0.18,-2.29,0.1,switch
1.19,1.07,1.09,not_switch
1.43,0.32,-1.61,switch
2.05,2.16,1.99,not_switch
6.15,3.66,0.73,switch
3.71,3.7,3.52,not_switch
1.65,5.74,1.58,switch
6.54,6.41,6.49,not_switch
1.5,-2.15,0.25,switch
1.3,1.22,1.34,not_switch
-0.38,-2.22,0.71,switch
5.66,5.59,5.66,not_switch
0.81,-3.12,-0.16,switch
5.23,5.05,5.11,not_switch
-1.26,-1.22,0.89,switch
5.27,5.26,5.18,not_switch
0.64,0.08,-2.71,switch
4.77,4.9,4.81,not_switch
0.7,1.79,5.67,switch
4.38,4.42,4.45,not_switch
1.71,3.35,5.18,switch
4.69,4.62,4.75,not_switch
3.29,1.16,3.91,switch
6.28,6.2,6.37,not_switch
2.13,3.31,4.59,switch
5.4,5.36,5.27,not_switch
-0.31,-1.05,0.55,switch
0.92,0.99,0.88,not_switch
6.46,1.26,2.15,switch
5.3,5.45,5.39,not_switch
5.88,0.69,1.75,switch
4.17,4.05,4.03,not_switch
3.49,1.47,4.37,switch
0.75,0.62,0.61,not_switch
-0.64,-1.88,0.59,switch
4.53,4.52,4.35,not_switch
-0.64,-2.66,-0.07,switch
0.67,0.67,0.49,not_switch
-0.4,-2.04,1.27,switch
4.5,4.63,4.58,not_switch
-0.29,-3.38,0.78,switch
6.45,6.45,6.49,not_switch
4.72,2.5,1.26,switch
5.33,5.39,5.46,not_switch
4.12,1.38,2.43,switch
4.86,4.83,5.03,not_switch
-3.06,0.6,-1.95,switch
0.6,0.59,0.6,not_switch
-0.22,0.88,-1.17,switch
2.72,2.68,2.57,not_switch
6.28,0.53,3.62,switch
2.27,2.2,2.27,not_switch
-2.59,-1.53,1.35,switch
0.7,0.65,0.67,not_switch
0.67,4.13,2.83,switch
2.21,2.36,2.35,not_switch
0.12,0.52,-1.24,switch
4.54,4.7,4.55,not_switch
-1.82,-0.02,-2.68,switch
3.71,3.55,3.64,not_switch
5.49,2.12,3.94,switch
1.07,1.06,1.18,not_switch
3.09,3.57,1.41,switch
1.69,1.81,1.86,not_switch
1.37,6.04,1.82,switch
5.69,5.61,5.67,not_switch
0.58,4.99,2.82,switch
3.57,3.53,3.41,not_switch
1.0,1.98,4.65,switch
2.27,2.15,2.27,not_switch
1.08,-0.46,-2.21,switch
4.11,4.05,4.07,not_switch
1.51,3.09,6.33,switch
2.55,2.67,2.5,not_switch
0.76,2.86,6.04,switch
5.09,5.2,5.11,not_switch
-1.59,1.2,-1.75,switch
2.75,2.63,2.81,not_switch
0.57,4.45,1.74,switch
2.48,2.49,2.54,not_switch
0.84,4.59,3.23,switch
6.45,6.39,6.5,not_switch
-0.04,0.38,-0.89,switch
4.66,4.85,4.75,not_switch
1.45,5.76,2.96,switch
0.58,0.47,0.65,not_switch
4.06,0.86,2.65,switch
0.69,0.76,0.81,not_switch
3.44,0.81,4.1,switch
5.93,5.93,5.79,not_switch
1.87,1.54,5.4,switch
5.63,5.72,5.75,not_switch
4.95,1.77,3.43,switch
2.64,2.7,2.74,not_switch
4.53,1.69,0.89,switch
3.47,3.42,3.31,not_switch
1.97,1.87,6.47,switch
1.33,1.21,1.29,not_switch
2.99,3.78,0.6,switch
3.26,3.25,3.36,not_switch
2.69,6.11,0.79,switch
1.44,1.5,1.38,not_switch
1.72,2.24,4.61,switch
4.13,4.18,4.22,not_switch
4.87,1.69,1.08,switch
4.46,4.25,4.45,not_switch
3.57,2.23,5.79,switch
0.38,0.42,0.31,not_switch
-0.29,-0.07,-3.19,switch
1.22,1.14,1.29,not_switch
-2.76,-0.57,0.39,switch
2.24,2.32,2.16,not_switch
0.54,6.13,3.07,switch
2.08,2.08,1.92,not_switch
2.82,1.88,5.38,switch
0.96,0.98,0.98,not_switch
-1.57,-3.29,0.83,switch
5.8,5.81,5.67,not_switch
2.23,4.41,1.81,switch
1.27,1.15,1.32,not_switch
-2.02,-0.17,-1.58,switch
0.85,0.74,0.75,not_switch
1.01,2.28,6.48,switch
4.49,4.41,4.35,not_switch
3.38,4.64,0.85,switch
4.13,4.2,4.27,not_switch
0.58,-2.66,0.5,switch
1.18,1.18,1.34,not_switch
0.39,-1.16,0.15,switch
5.84,5.67,5.68,not_switch
-2.71,1.0,-0.93,switch
3.06,3.13,2.95,not_switch
-2.86,1.4,0.4,switch
2.36,2.58,2.44,not_switch
0.72,5.91,3.14,switch
1.19,1.13,1.24,not_switch
2.06,3.4,4.58,switch
1.79,1.87,1.96,not_switch
-3.23,-0.82,1.37,switch
3.47,3.43,3.62,not_switch
3.99,1.49,2.29,switch
6.29,6.45,6.33,not_switch
2.53,4.66,0.5,switch
4.81,4.81,4.92,not_switch
2.07,1.82,6.17,switch
5.81,5.97,5.87,not_switch
2.66,0.64,6.33,switch
5.26,5.17,5.21,not_switch
2.17,4.59,3.19,switch
1.44,1.63,1.59,not_switch
0.76,3.47,5.01,switch
2.59,2.48,2.66,not_switch
1.44,-1.94,-1.48,switch
6.28,6.25,6.4,not_switch
0.3,5.91,2.88,switch
4.66,4.64,4.52,not_switch
1.17,-2.0,-0.94,switch
4.69,4.7,4.47,not_switch
-2.59,-0.05,0.31,switch
4.81,4.83,4.82,not_switch
-1.61,-0.84,-0.12,switch
1.67,1.57,1.66,not_switch
3.0,4.52,1.54,switch
3.42,3.49,3.54,not_switch
2.71,5.51,0.72,switch
0.44,0.23,0.26,not_switch
-1.49,0.82,-3.13,switch
1.2,1.11,1.27,not_switch
1.56,3.39,4.5,switch
0.48,0.41,0.53,not_switch
4.0,3.84,0.85,switch
5.45,5.53,5.36,not_switch
5.84,2.29,2.88,switch
3.07,3.09,3.24,not_switch
2.97,1.29,3.61,switch
4.17,4.22,4.09,not_switch
5.35,2.11,0.49,switch
6.4,6.48,6.49,not_switch
0.27,-1.86,-0.55,switch
0.94,1.02,0.97,not_switch
2.88,5.08,0.85,switch
0.74,0.81,0.78,not_switch
4.22,4.0,0.69,switch
2.76,2.82,2.67,not_switch
3.38,5.49,0.82,switch
1.21,1.09,1.06,not_switch
1.02,2.06,6.49,switch
4.83,4.88,4.74,not_switch
3.94,2.99,1.35,switch
0.41,0.43,0.25,not_switch
3.02,4.02,0.87,switch
3.93,3.87,3.93,not_switch
6.29,1.33,2.43,switch
0.8,0.91,0.94,not_switch
4.22,1.18,3.58,switch
6.32,6.27,6.44,not_switch
1.04,6.08,3.94,switch
0.38,0.49,0.35,not_switch
-1.57,0.86,-2.77,switch
2.68,2.71,2.69,not_switch
1.3,3.7,4.37,switch
1.83,1.93,1.9,not_switch
-2.26,0.63,-0.59,switch
5.28,5.18,5.24,not_switch
2.77,4.88,2.33,switch
3.07,3.14,2.98,not_switch
-1.0,-0.46,0.65,switch
6.31,6.1,6.14,not_switch
-0.2,-2.03,-1.04,switch
0.94,0.91,0.93,not_switch
0.27,-2.42,-1.06,switch
4.65,4.56,4.61,not_switch
0.83,2.81,5.5,switch
5.63,5.61,5.49,not_switch
3.04,1.0,4.08,switch
4.2,4.18,4.33,not_switch
5.89,3.86,2.23,switch
0.65,0.72,0.87,not_switch
3.58,5.89,2.36,switch
0.87,0.89,0.95,not_switch
3.38,1.41,4.54,switch
4.29,4.25,4.19,not_switch
1.39,-2.77,-1.47,switch
6.17,6.1,6.04,not_switch
2.61,0.63,4.57,switch
5.18,5.3,5.19,not_switch
-1.61,-1.53,0.1,switch
6.14,6.3,6.37,not_switch
3.68,0.34,3.15,switch
1.71,1.69,1.66,not_switch
-2.94,1.11,-1.97,switch
2.39,2.3,2.31,not_switch
4.62,0.84,2.67,switch
4.32,4.22,4.3,not_switch
2.27,3.3,5.73,switch
2.62,2.58,2.59,not_switch
6.39,0.84,2.6,switch
4.51,4.44,4.47,not_switch
1.08,2.02,4.44,switch
5.82,5.83,5.87,not_switch
1.01,3.98,2.99,switch
5.02,5.1,5.06,not_switch
2.53,4.96,1.63,switch
2.55,2.59,2.51,not_switch
1.55,4.88,1.84,switch
3.03,3.12,2.99,not_switch
2.07,3.12,4.64,switch
6.44,6.41,6.49,not_switch
5.74,0.5,3.29,switch
5.19,5.09,5.3,not_switch
1.91,0.94,5.85,switch
4.25,4.2,4.31,not_switch
1.95,5.05,2.61,switch
6.12,6.07,5.95,not_switch
-2.66,-0.55,-0.02,switch
2.83,2.87,2.84,not_switch
2.78,1.4,6.11,switch
3.14,3.19,3.1,not_switch
-0.84,0.62,-1.86,switch
4.71,4.83,4.65,not_switch
4.92,1.78,2.97,switch
6.19,6.27,6.16,not_switch
2.69,0.61,5.24,switch
5.65,5.71,5.77,not_switch
-2.35,0.63,-0.25,switch
2.05,1.89,1.88,not_switch
0.8,1.97,4.64,switch
5.49,5.57,5.51,not_switch
0.51,4.94,3.94,switch
2.82,2.77,2.68,not_switch
3.42,1.7,6.14,switch
6.0,6.15,6.12,not_switch
0.94,-0.59,-2.44,switch
3.36,3.38,3.36,not_switch
-1.88,-2.06,0.85,switch
6.51,6.41,6.59,not_switch
1.34,-0.96,-0.47,switch
2.63,2.64,2.63,not_switch
1.4,4.24,3.26,switch
5.73,5.76,5.68,not_switch
5.4,2.41,1.34,switch
4.32,4.43,4.24,not_switch
-2.88,1.22,-0.33,switch
5.89,5.82,5.84,not_switch
2.42,5.74,3.59,switch
4.23,4.04,4.01,not_switch
-0.85,-1.71,0.28,switch
3.33,3.3,3.22,not_switch
0.25,-0.15,-2.8,switch
1.05,0.92,1.03,not_switch
6.03,3.85,1.48,switch
5.49,5.37,5.43,not_switch
3.31,5.17,0.53,switch
1.5,1.43,1.36,not_switch
-1.53,0.57,-0.25,switch
1.39,1.31,1.38,not_switch
4.74,0.71,2.89,switch
1.02,1.02,0.94,not_switch
-0.69,-1.63,0.91,switch
5.98,5.94,6.0,not_switch
2.71,3.94,0.35,switch
0.32,0.3,0.29,not_switch
3.44,4.38,0.9,switch
3.24,3.25,3.24,not_switch
4.55,1.68,1.56,switch
1.34,1.25,1.33,not_switch
5.81,1.35,2.51,switch
6.23,6.2,6.33,not_switch
4.0,2.29,0.36,switch
3.28,3.26,3.42,not_switch
5.47,0.93,3.27,switch
4.9,4.86,5.0,not_switch
0.25,-2.95,0.93,switch
6.16,6.3,6.19,not_switch
1.68,3.17,5.44,switch
6.22,6.05,6.16,not_switch
-0.77,-2.29,1.32,switch
5.74,5.63,5.59,not_switch
2.5,0.68,3.73,switch
3.73,3.57,3.71,not_switch
3.58,5.16,1.19,switch
5.73,5.84,5.82,not_switch
2.36,6.43,3.28,switch
4.65,4.63,4.76,not_switch
1.03,4.09,2.04,switch
3.34,3.3,3.5,not_switch
0.4,5.23,2.43,switch
3.18,3.1,3.13,not_switch
-0.42,-1.55,0.75,switch
3.24,3.28,3.27,not_switch
5.77,3.72,1.46,switch
2.67,2.67,2.62,not_switch
-2.95,-0.34,0.78,switch
3.53,3.54,3.54,not_switch
1.2,4.89,2.79,switch
4.84,4.77,4.94,not_switch
-0.78,-1.08,0.51,switch
2.62,2.46,2.43,not_switch
0.69,3.16,4.87,switch
5.75,5.68,5.63,not_switch
4.24,2.7,0.58,switch
3.67,3.53,3.52,not_switch
0.35,0.08,-1.44,switch
4.67,4.64,4.55,not_switch
-0.53,-3.36,1.28,switch
2.66,2.81,2.77,not_switch
4.88,2.84,1.33,switch
3.29,3.3,3.35,not_switch
2.99,1.48,5.21,switch
5.25,5.15,5.24,not_switch
4.28,3.51,1.44,switch
5.53,5.68,5.47,not_switch
-1.84,-1.64,0.92,switch
1.23,1.24,1.09,not_switch
0.24,0.25,-2.95,switch
3.37,3.4,3.37,not_switch
3.44,1.8,6.23,switch
2.83,2.89,2.81,not_switch
2.86,6.0,0.7,switch
2.64,2.6,2.51,not_switch
0.59,5.59,3.47,switch
2.56,2.73,2.59,not_switch
0.48,4.41,2.8,switch
2.85,2.82,2.64,not_switch
6.28,0.77,2.76,switch
4.88,4.9,4.85,not_switch
3.62,1.39,3.35,switch
0.26,0.42,0.29,not_switch
0.4,0.66,-1.65,switch
0.66,0.75,0.77,not_switch
1.89,3.95,0.44,switch
0.81,0.7,0.82,not_switch
2.37,0.32,4.69,switch
6.14,6.2,6.17,not_switch
6.15,3.12,2.17,switch
3.2,3.22,3.28,not_switch
5.48,1.15,3.94,switch
3.17,3.04,3.16,not_switch
2.25,4.51,3.26,switch
3.12,3.2,2.98,not_switch
2.81,5.53,1.99,switch
5.96,5.93,6.04,not_switch
-1.34,-2.28,0.23,switch
4.56,4.61,4.58,not_switch
1.21,1.81,6.18,switch
6.27,6.23,6.27,not_switch
-2.79,0.38,1.0,switch
3.01,2.95,2.88,not_switch
1.34,3.35,4.59,switch
5.21,5.27,5.31,not_switch
6.27,1.46,2.06,switch
2.12,2.22,2.28,not_switch
5.23,3.59,1.59,switch
1.19,1.31,1.24,not_switch
-0.81,0.33,-1.22,switch
4.74,4.66,4.82,not_switch
6.29,0.64,2.66,switch
5.92,5.91,5.94,not_switch
1.42,-1.31,-1.43,switch
6.08,5.99,6.06,not_switch
-2.74,-1.55,1.2,switch
0.43,0.38,0.48,not_switch
1.32,-1.52,-3.5,switch
2.27,2.13,2.16,not_switch
-1.49,-1.73,0.81,switch
5.34,5.28,5.19,not_switch
-2.86,-1.33,0.51,switch
1.26,1.2,1.36,not_switch
0.26,-3.25,-1.12,switch
4.57,4.44,4.52,not_switch
-2.08,-0.75,0.02,switch
2.92,2.94,2.87,not_switch
1.05,-2.2,-0.5,switch
1.14,1.1,1.17,not_switch
4.37,1.7,3.42,switch
2.48,2.28,2.26,not_switch
2.62,5.44,2.32,switch
1.89,1.8,2.01,not_switch
-0.96,-1.72,0.16,switch
4.06,4.02,3.89,not_switch
1.06,-1.23,-0.89,switch
4.66,4.51,4.57,not_switch
1.51,2.52,4.8,switch
0.9,0.78,0.98,not_switch
1.38,4.08,3.36,switch
4.71,4.68,4.59,not_switch
1.15,-0.14,-2.41,switch
6.52,6.55,6.5,not_switch
1.88,3.2,6.25,switch
5.36,5.37,5.17,not_switch
0.05,1.21,-2.8,switch
2.61,2.78,2.6,not_switch
5.73,3.01,0.95,switch
5.45,5.42,5.27,not_switch
3.36,4.75,0.52,switch
1.9,2.02,2.03,not_switch
0.09,-0.55,-0.77,switch
1.18,1.3,1.25,not_switch
0.75,-2.35,-1.67,switch
3.49,3.47,3.59,not_switch
2.56,1.42,5.45,switch
3.32,3.43,3.33,not_switch
1.93,5.18,3.34,switch
4.84,4.99,4.92,not_switch
4.09,3.61,1.45,switch
5.44,5.44,5.51,not_switch
6.48,0.66,2.49,switch
1.78,1.65,1.59,not_switch
4.6,3.83,1.52,switch
4.45,4.64,4.63,not_switch
3.39,1.46,6.49,switch
1.5,1.61,1.66,not_switch
0.27,-1.88,0.49,switch
5.14,5.01,5.03,not_switch
-1.64,0.49,-3.32,switch
0.64,0.56,0.53,not_switch
4.82,0.67,2.88,switch
3.0,2.91,3.06,not_switch
1.14,5.38,3.04,switch
3.56,3.71,3.55,not_switch
1.4,-0.86,0.02,switch
5.25,5.34,5.31,not_switch
0.57,-1.97,-0.91,switch
2.55,2.55,2.46,not_switch
1.3,5.49,3.51,switch
1.63,1.51,1.57,not_switch
-2.67,-0.47,0.79,switch
1.57,1.65,1.68,not_switch
6.36,3.09,2.36,switch
3.05,2.97,2.87,not_switch
-0.0,-0.11,-1.73,switch
4.02,3.79,3.79,not_switch
1.5,4.1,3.8,switch
3.19,3.17,3.21,not_switch
1.75,3.74,2.87,switch
3.54,3.47,3.36,not_switch
4.84,3.05,1.27,switch
3.84,3.92,3.97,not_switch
0.31,2.99,4.67,switch
2.24,2.37,2.22,not_switch
0.25,-1.77,0.32,switch
4.58,4.77,4.72,not_switch
-3.1,-1.9,0.64,switch
4.9,4.95,4.93,not_switch
-2.87,0.83,-1.05,switch
1.82,1.84,1.93,not_switch
5.23,1.65,3.47,switch
6.24,6.22,6.23,not_switch
-0.3,0.62,-3.01,switch
4.39,4.37,4.33,not_switch
4.41,1.76,2.62,switch
3.11,3.16,2.98,not_switch
0.66,-1.06,-0.18,switch
3.63,3.72,3.73,not_switch
2.58,0.88,4.64,switch
0.49,0.61,0.67,not_switch
3.09,5.0,0.61,switch
4.11,4.04,4.03,not_switch
1.73,1.4,4.29,switch
0.91,0.77,0.74,not_switch
0.69,-1.01,-0.97,switch
3.88,3.81,3.76,not_switch
0.04,0.42,-1.31,switch
4.09,4.1,4.27,not_switch
5.04,3.92,1.61,switch
2.63,2.66,2.6,not_switch
2.99,5.65,0.45,switch
4.94,4.96,5.07,not_switch
1.09,-2.29,-1.32,switch
4.25,4.23,4.17,not_switch
3.29,6.34,0.71,switch
4.91,5.0,4.94,not_switch
5.86,2.97,1.76,switch
4.42,4.2,4.3,not_switch
3.75,5.47,0.94,switch
5.11,5.11,5.1,not_switch
-0.55,-1.82,-0.01,switch
3.99,4.05,4.1,not_switch
5.9,1.4,1.78,switch
2.13,2.08,2.2,not_switch
-0.03,1.29,-3.4,switch
3.29,3.34,3.32,not_switch
-1.22,0.25,-3.08,switch
4.09,4.07,4.07,not_switch
5.54,0.88,3.0,switch
5.17,5.3,5.2,not_switch
2.62,1.68,5.78,switch
5.86,5.79,5.75,not_switch
4.02,3.14,1.01,switch
5.62,5.6,5.53,not_switch
-1.85,0.2,-0.06,switch
2.39,2.27,2.27,not_switch
1.94,6.4,3.7,switch
0.58,0.64,0.57,not_switch
-0.02,1.0,-2.71,switch
3.07,2.97,3.02,not_switch
2.87,0.61,6.02,switch
5.68,5.56,5.67,not_switch
-0.64,0.49,-1.7,switch
2.64,2.71,2.56,not_switch
-0.39,0.52,-3.42,switch
3.41,3.43,3.51,not_switch
4.58,3.16,1.42,switch
2.46,2.59,2.6,not_switch
-1.24,1.28,-1.69,switch
3.71,3.51,3.71,not_switch
-2.71,0.85,0.09,switch
2.96,2.74,2.86,not_switch
0.04,-2.28,-0.16,switch
3.77,3.66,3.84,not_switch
-1.68,-0.19,-0.17,switch
2.23,2.16,2.16,not_switch
3.25,1.04,3.57,switch
1.6,1.63,1.51,not_switch
0.47,0.29,-2.99,switch
2.7,2.59,2.75,not_switch
-2.87,-0.63,0.84,switch
3.66,3.61,3.54,not_switch
3.7,4.47,1.88,switch
4.28,4.17,4.26,not_switch
4.43,0.55,2.8,switch
0.59,0.73,0.55,not_switch
1.34,2.26,4.62,switch
1.66,1.56,1.63,not_switch
1.54,3.26,5.65,switch
6.21,6.27,6.32,not_switch
5.01,2.39,1.14,switch
4.34,4.42,4.39,not_switch
5.44,2.57,2.25,switch
1.33,1.33,1.44,not_switch
1.53,3.18,4.55,switch
3.75,3.71,3.6,not_switch
4.11,0.36,3.47,switch
0.55,0.65,0.65,not_switch
2.81,0.73,4.11,switch
1.53,1.45,1.41,not_switch
5.69,0.69,3.43,switch
5.15,5.17,5.2,not_switch
5.56,1.3,2.74,switch
3.11,3.17,3.25,not_switch
1.9,3.93,1.74,switch
4.1,3.95,4.01,not_switch
5.76,3.37,1.34,switch
0.5,0.51,0.5,not_switch
2.01,2.78,4.87,switch
3.83,3.94,3.87,not_switch
3.21,4.17,0.81,switch
4.88,4.94,4.97,not_switch
-0.03,-2.87,-0.06,switch
4.04,3.92,3.94,not_switch
5.21,2.6,1.98,switch
6.4,6.39,6.5,not_switch
-3.0,0.46,1.21,switch
2.11,2.24,2.07,not_switch
4.82,2.61,1.81,switch
4.76,4.89,4.85,not_switch
4.02,0.83,1.91,switch
2.16,2.01,2.16,not_switch
5.77,3.73,1.53,switch
6.45,6.32,6.5,not_switch
-0.55,1.43,-1.39,switch
0.61,0.63,0.52,not_switch
-3.05,-0.16,0.12,switch
4.11,4.03,4.21,not_switch
1.45,5.58,1.66,switch
5.47,5.4,5.39,not_switch
4.33,1.33,3.15,switch
6.02,6.08,5.97,not_switch
3.49,0.85,5.35,switch
3.97,3.97,3.91,not_switch
5.94,0.96,3.25,switch
2.18,2.35,2.19,not_switch
5.45,1.59,3.12,switch
4.52,4.57,4.38,not_switch
0.56,2.05,5.65,switch
0.35,0.29,0.35,not_switch
4.75,2.7,1.65,switch
0.47,0.49,0.51,not_switch
4.84,2.12,3.59,switch
1.37,1.53,1.43,not_switch
2.27,5.86,1.2,switch
6.45,6.51,6.43,not_switch
-0.95,-3.03,0.24,switch
3.46,3.49,3.46,not_switch
0.96,-1.17,-0.31,switch
5.18,5.18,5.21,not_switch
1.13,3.44,4.6,switch
0.67,0.59,0.59,not_switch
-1.11,-1.22,1.24,switch
2.39,2.38,2.38,not_switch
3.37,2.11,5.33,switch
0.66,0.6,0.73,not_switch
4.51,2.73,0.8,switch
0.68,0.79,0.86,not_switch
0.52,3.04,4.13,switch
6.44,6.54,6.32,not_switch
2.55,0.91,5.61,switch
2.05,2.14,2.16,not_switch
3.64,2.34,6.09,switch
0.74,0.64,0.59,not_switch
0.4,-2.54,-1.63,switch
5.14,5.05,5.09,not_switch
0.7,-1.96,-0.65,switch
2.35,2.21,2.33,not_switch
-1.33,0.97,0.47,switch
2.45,2.53,2.54,not_switch
1.02,-1.96,-0.93,switch
3.66,3.72,3.57,not_switch
-0.24,-3.29,-0.08,switch
1.64,1.67,1.63,not_switch
5.76,2.0,3.8,switch
4.0,3.93,4.13,not_switch
2.07,2.74,6.08,switch
5.95,5.92,6.08,not_switch
4.2,0.88,3.21,switch
2.03,2.15,2.14,not_switch
-0.6,-0.37,0.19,switch
3.35,3.34,3.26,not_switch
-0.04,-1.88,-1.17,switch
5.76,5.84,5.85,not_switch
0.77,6.18,1.97,switch
4.25,4.4,4.28,not_switch
-1.94,0.89,-1.71,switch
5.65,5.67,5.76,not_switch
2.43,3.52,0.48,switch
1.52,1.29,1.47,not_switch
2.11,5.32,1.33,switch
2.71,2.85,2.83,not_switch
3.22,1.63,5.61,switch
5.26,5.21,5.11,not_switch
3.83,0.46,1.99,switch
6.44,6.48,6.47,not_switch
-0.12,-3.25,0.09,switch
5.64,5.59,5.76,not_switch
4.64,2.07,0.86,switch
5.23,5.27,5.19,not_switch
4.69,0.68,2.68,switch
6.34,6.28,6.21,not_switch
3.95,5.8,2.21,switch
5.27,5.25,5.19,not_switch
4.96,1.81,1.14,switch
4.16,4.07,4.12,not_switch
1.58,1.1,5.21,switch
0.59,0.62,0.63,not_switch
2.78,0.74,5.64,switch
0.33,0.25,0.43,not_switch
3.3,2.21,5.45,switch
5.48,5.62,5.62,not_switch
1.8,4.14,3.16,switch
1.33,1.15,1.26,not_switch
2.18,5.04,3.86,switch
5.92,5.87,5.83,not_switch
0.7,1.91,6.29,switch
1.86,1.7,1.82,not_switch
1.86,3.72,4.98,switch
1.82,1.88,1.76,not_switch
3.83,1.99,1.86,switch
4.97,5.02,5.01,not_switch
5.71,2.51,1.35,switch
0.38,0.32,0.44,not_switch
1.21,4.34,3.62,switch
3.7,3.7,3.85,not_switch
-0.69,-2.33,0.53,switch
5.24,5.1,5.04,not_switch
3.59,2.81,0.41,switch
4.57,4.61,4.51,not_switch
5.6,1.6,1.7,switch
6.23,6.14,6.33,not_switch
1.46,-2.37,-0.7,switch
5.25,5.26,5.15,not_switch
0.53,5.87,2.53,switch
1.94,1.82,1.72,not_switch
-1.96,-1.77,0.45,switch
1.78,1.82,1.81,not_switch
4.19,1.67,0.57,switch
3.82,3.98,3.88,not_switch
4.35,3.84,1.07,switch
6.23,6.21,6.19,not_switch
1.11,4.32,1.89,switch
2.91,3.13,2.92,not_switch
1.31,3.53,5.15,switch
6.53,6.51,6.44,not_switch
-0.03,-1.01,-0.33,switch
1.19,1.22,1.26,not_switch
0.82,1.69,5.53,switch
4.08,3.96,4.0,not_switch
2.52,0.9,5.13,switch
4.57,4.51,4.41,not_switch
1.93,2.57,4.18,switch
3.93,3.95,3.93,not_switch
3.64,0.64,2.54,switch
0.35,0.36,0.34,not_switch
1.74,1.71,6.21,switch
3.32,3.28,3.32,not_switch
-1.93,1.09,-1.52,switch
2.9,2.84,2.74,not_switch
-1.73,0.0,-1.59,switch
1.98,1.98,2.14,not_switch
1.54,3.0,4.57,switch
1.68,1.79,1.76,not_switch
3.76,1.21,5.45,switch
1.19,1.24,1.25,not_switch
2.64,1.83,4.16,switch
3.1,3.17,3.15,not_switch
5.34,0.71,2.29,switch
2.44,2.43,2.46,not_switch
0.51,5.88,3.41,switch
0.53,0.58,0.58,not_switch
2.01,4.04,0.77,switch
1.07,1.12,0.98,not_switch
0.1,1.19,-0.94,switch
4.33,4.48,4.33,not_switch
3.38,4.04,2.45,switch
4.44,4.37,4.45,not_switch
1.54,3.2,4.9,switch
3.33,3.35,3.34,not_switch
6.2,1.76,0.63,switch
3.34,3.18,3.13,not_switch
5.75,3.93,2.3,switch
4.72,4.72,4.57,not_switch
4.44,2.73,0.66,switch
5.8,5.82,5.67,not_switch
-1.18,-0.2,-0.06,switch
2.75,2.84,2.84,not_switch
5.69,0.7,1.91,switch
4.06,4.11,3.97,not_switch
1.23,6.34,3.77,switch
3.54,3.5,3.64,not_switch
0.52,-2.93,-1.74,switch
2.73,2.72,2.66,not_switch
1.38,2.81,5.38,switch
0.65,0.67,0.58,not_switch
1.05,3.22,5.48,switch
2.54,2.53,2.73,not_switch
1.48,-1.09,-2.53,switch
2.88,2.99,2.9,not_switch
1.41,-1.63,-1.52,switch
1.69,1.69,1.8,not_switch
4.6,1.83,0.78,switch
1.96,1.92,1.84,not_switch
3.35,5.29,1.9,switch
0.6,0.57,0.62,not_switch
2.28,2.53,6.41,switch
0.44,0.39,0.43,not_switch
1.59,6.09,1.72,switch
1.46,1.57,1.41,not_switch
1.59,4.77,3.48,switch
3.84,3.97,3.77,not_switch
3.32,4.54,2.11,switch
4.72,4.68,4.85,not_switch
5.76,3.76,0.6,switch
6.41,6.31,6.37,not_switch
3.41,0.97,4.3,switch
0.65,0.46,0.62,not_switch
3.56,1.11,2.73,switch
5.31,5.21,5.29,not_switch
2.98,5.6,1.72,switch
3.72,3.83,3.79,not_switch
1.35,2.1,5.71,switch
5.72,5.53,5.6,not_switch
0.63,2.72,5.8,switch
4.13,3.95,3.98,not_switch
-1.5,-1.77,-0.19,switch
4.97,4.77,4.92,not_switch
-0.17,-0.8,-2.24,switch
1.94,1.88,1.89,not_switch
1.63,2.23,5.61,switch
2.34,2.21,2.2,not_switch
3.52,2.08,4.25,switch
5.28,5.19,5.15,not_switch
3.27,3.58,0.56,switch
3.63,3.55,3.46,not_switch
5.91,2.01,1.42,switch
1.78,1.92,1.9,not_switch
3.14,3.74,0.8,switch
6.22,6.18,6.08,not_switch
0.91,-2.34,-0.92,switch
4.26,4.28,4.26,not_switch
0.44,6.32,1.73,switch
2.29,2.21,2.21,not_switch
1.71,1.22,4.21,switch
2.77,2.71,2.89,not_switch
-1.61,-0.17,-1.07,switch
3.88,3.72,3.84,not_switch
1.33,-0.57,-2.47,switch
3.03,3.04,3.0,not_switch
1.14,5.31,3.65,switch
2.03,1.9,2.08,not_switch
6.35,3.38,1.72,switch
5.56,5.54,5.47,not_switch
4.09,0.62,3.44,switch
1.38,1.46,1.49,not_switch
4.36,0.43,2.38,switch
4.72,4.8,4.71,not_switch
5.24,0.37,3.26,switch
1.91,1.9,1.92,not_switch
0.84,3.14,5.19,switch
3.21,3.39,3.32,not_switch
-1.77,0.07,-0.0,switch
1.04,0.89,0.94,not_switch
0.63,5.85,2.92,switch
2.14,2.06,2.11,not_switch
2.69,0.87,5.05,switch
5.81,5.87,5.88,not_switch
3.23,0.58,5.1,switch
0.42,0.49,0.36,not_switch
4.56,0.78,2.12,switch
5.1,5.03,5.09,not_switch
-0.19,-0.31,-1.04,switch
2.25,2.22,2.22,not_switch
0.8,4.34,3.11,switch
1.79,1.66,1.67,not_switch
